SRR6519859	B20_D041914
SRR6519860	B21_D041914
SRR6519861	B22_D041914
SRR6519862	C1_D041914
SRR6519863	C2_D041914
SRR6519864	C3_D041914
SRR6519865	C4_D041914
SRR6519866	C5_D041914
SRR6519867	F10_B000610
SRR6519868	C6_D041914
SRR6519869	C7_D041914
SRR6519870	C8_D041914
SRR6519871	C9_D041914
SRR6519872	C10_D041914
SRR6519873	C11_D041914
SRR6519874	C12_D041914
SRR6519875	C13_D041914
SRR6519876	C14_D041914
SRR6519877	C15_D041914
SRR6519878	F11_B000610
SRR6519879	C16_D041914
SRR6519880	C17_D041914
SRR6519881	C18_D041914
SRR6519882	C19_D041914
SRR6519883	C20_D041914
SRR6519884	C21_D041914
SRR6519885	C22_D041914
SRR6519886	D1_D041914
SRR6519887	D2_D041914
SRR6519888	D3_D041914
SRR6519889	F11_B000610
SRR6519890	D4_D041914
SRR6519891	D5_D041914
SRR6519892	D6_D041914
SRR6519893	D7_D041914
SRR6519894	D8_D041914
SRR6519895	D9_D041914
SRR6519896	D10_D041914
SRR6519897	D12_D041914
SRR6519898	D13_D041914
SRR6519899	D14_D041914
SRR6519900	F14_B000610
SRR6519901	D16_D041914
SRR6519902	D17_D041914
SRR6519903	D18_D041914
SRR6519904	D19_D041914
SRR6519905	D20_D041914
SRR6519906	D21_D041914
SRR6519907	D22_D041914
SRR6519908	E1_D041914
SRR6519909	E2_D041914
SRR6519910	E3_D041914
SRR6519911	F14_B000610
SRR6519912	E4_D041914
SRR6519913	E5_D041914
SRR6519914	E6_D041914
SRR6519915	E7_D041914
SRR6519916	E8_D041914
SRR6519917	E9_D041914
SRR6519918	E10_D041914
SRR6519919	E11_D041914
SRR6519920	E12_D041914
SRR6519921	E13_D041914
SRR6519922	F15_B000610
SRR6519923	E14_D041914
SRR6519924	E15_D041914
SRR6519925	E17_D041914
SRR6519926	E18_D041914
SRR6519927	E19_D041914
SRR6519928	E21_D041914
SRR6519929	E22_D041914
SRR6519930	F1_D041914
SRR6519931	F2_D041914
SRR6519932	F3_D041914
SRR6519933	F15_B000610
SRR6519934	F4_D041914
SRR6519935	F6_D041914
SRR6519936	F7_D041914
SRR6519937	F8_D041914
SRR6519938	F10_D041914
SRR6519939	F11_D041914
SRR6519940	F12_D041914
SRR6519941	F14_D041914
SRR6519942	F15_D041914
SRR6519943	F16_D041914
SRR6519944	F16_B000610
SRR6519945	F17_D041914
SRR6519946	F18_D041914
SRR6519947	F19_D041914
SRR6519948	F20_D041914
SRR6519949	F21_D041914
SRR6519950	F22_D041914
SRR6519951	G1_D041914
SRR6519952	G2_D041914
SRR6519953	G3_D041914
SRR6519954	G4_D041914
SRR6519955	A7_B000610
SRR6519956	F16_B000610
SRR6519957	G5_D041914
SRR6519958	G6_D041914
SRR6519959	G7_D041914
SRR6519960	G8_D041914
SRR6519961	G9_D041914
SRR6519962	G13_D041914
SRR6519963	G14_D041914
SRR6519964	G15_D041914
SRR6519965	G16_D041914
SRR6519966	G17_D041914
SRR6519967	G1_B000610
SRR6519968	G18_D041914
SRR6519969	G19_D041914
SRR6519970	G20_D041914
SRR6519971	G21_D041914
SRR6519972	G22_D041914
SRR6519973	H1_D041914
SRR6519974	H2_D041914
SRR6519975	H4_D041914
SRR6519976	H5_D041914
SRR6519977	H6_D041914
SRR6519978	G1_B000610
SRR6519979	H7_D041914
SRR6519980	H8_D041914
SRR6519981	H9_D041914
SRR6519982	H10_D041914
SRR6519983	H15_D041914
SRR6519984	H16_D041914
SRR6519985	H18_D041914
SRR6519986	H19_D041914
SRR6519987	H20_D041914
SRR6519988	H21_D041914
SRR6519989	G2_B000610
SRR6519990	H22_D041914
SRR6519991	I1_D041914
SRR6519992	I2_D041914
SRR6519993	I3_D041914
SRR6519994	I4_D041914
SRR6519995	I5_D041914
SRR6519996	I6_D041914
SRR6519997	I7_D041914
SRR6519998	I8_D041914
SRR6519999	I9_D041914
SRR6520000	G2_B000610
SRR6520001	I13_D041914
SRR6520002	I14_D041914
SRR6520003	I15_D041914
SRR6520004	I16_D041914
SRR6520005	I17_D041914
SRR6520006	I18_D041914
SRR6520007	I19_D041914
